hotel_name,source_url,official_url,hotel_class,minprice,maxprice,address,lat,lon,number_of_room,number_of_floor,year_property_opened,most_recent_renovation
La Cigale Residence,https://www.tripadvisor.com/Hotel_Review-g293925-d13997046-Reviews-La_Cigale_Residence-Ho_Chi_Minh_City.html,,2.0 of 5 stars,,,"37-39 Hung Gia 1 Phu My Hung, Phuong Tan Phong, Quan 7, Ho Chi Minh City Vietnam",10.74694,106.65386,,,,
RedDoorz AHA Residence Hotel Dien Bien Phu,https://www.tripadvisor.com/Hotel_Review-g293925-d25379581-Reviews-RedDoorz_AHA_Residence_Hotel_Dien_Bien_Phu-Ho_Chi_Minh_City.html,,2.0 of 5 stars,,,"284 Dien Bien Phu Street, Ho Chi Minh City 100000 Vietnam",10.7993,106.70667,,,,
Phu Gia Bui Vien Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d26533107-Reviews-Phu_Gia_Bui_Vien_Hotel-Ho_Chi_Minh_City.html,,,,,"175/21 Phạm Ngũ Lão, Ho Chi Minh City 700000 Vietnam",10.76841,106.69452,,,,
Bin Bin Hotel 5,https://www.tripadvisor.com/Hotel_Review-g293925-d13276954-Reviews-Bin_Bin_Hotel_5-Ho_Chi_Minh_City.html,,3.0 of 5 stars,,,"42, Street 73 District 7, Ho Chi Minh City 70130 Vietnam",10.77707,106.70459,,,,
Ais Apartment,https://www.tripadvisor.com/Hotel_Review-g293925-d17638642-Reviews-Ais_Apartment-Ho_Chi_Minh_City.html,,,,,"Kdc Nine South, 37 Duong So 7, Phuoc Kieng, Nha Be, Ho Chi Minh City Vietnam",10.694412,106.72288,,,,
Hamonica Thao Dien Apartment,https://www.tripadvisor.com/Hotel_Review-g293925-d22844460-Reviews-Hamonica_Thao_Dien_Apartment-Ho_Chi_Minh_City.html,,,,,"5/20 Duong 64, Thao Dien, Quan 2 Room 09, Thao Dien Apartment, Ho Chi Minh City Vietnam",10.81327,106.72961,,,,
Begin Inn,https://www.tripadvisor.com/Hotel_Review-g293925-d15231768-Reviews-Begin_Inn-Ho_Chi_Minh_City.html,,,,,"1 Luong Huu Khanh Street, District 1, Ho Chi Minh City Vietnam",10.76804,106.68849,,,,
Vien Dong Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d24130354-Reviews-Vien_Dong_Hotel-Ho_Chi_Minh_City.html,,,,,"Hưng Phước 3 PHÚ MỸ, HƯNG , p, Quận 7, Ho Chi Minh City Vietnam",10.73017,106.70801,,,,
SumHouse SaiGon Citypoint,https://www.tripadvisor.com/Hotel_Review-g293925-d12248404-Reviews-SumHouse_SaiGon_Citypoint-Ho_Chi_Minh_City.html,,,,,"55/11 Le Thi Hong Gam, Nguyen Thai Binh Ward, District 1, Ho Chi Minh City Vietnam",10.770014,106.69901,,,,
Millennium Saigon Riverside,https://www.tripadvisor.com/Hotel_Review-g293925-d22844413-Reviews-Millennium_Saigon_Riverside-Ho_Chi_Minh_City.html,,,,,"B2201, Số 132 Bến Vân Đồn, Phường 6, Quận 4 Millennium Masteri, Ho Chi Minh City Vietnam",10.763508,106.69945,,,,
